State,Primary Use Category,Water User,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AZ,Recreation,Lake Mead Nat'l Rec Area (Lake Mead),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,200,200,178,188,166,133,134,111,104,121,154,69,70,92,97,113,123,95,128,180
,Recreation,Lake Mead Nat'l Rec Area (Lake Mohave),,,,,,,,236,282,329,310,291,267,251,239,238,230,273,279,249,512,380,364,369,283,301,306,395,353,330,337,326,352,355,486,878,944,952,322,245,213,191,226,188,182,169,162,177,173
,Energy,LCRD Project (Davis Dam),,,,,,,,--,219,238,213,193,218,211,224,196,251,243,208,241,60,40,40,26,122,122,203,135,143,101,94,66,55,0,32,1,26,1,0,0,0,18,1,1,2,2,2,3,1
,Recreation,Mohave County Parks,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,158,223,112,71,123,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--
,M&I,Bullhead City,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,"4,596","4,752","4,917","5,179","5,931","5,804","6,875","6,890","6,991","7,457","7,710","7,426","7,818","8,129","8,202","8,575","5,774","6,414","7,313","7,766","7,714","6,962","6,787","6,640","6,384","6,336"
,M&I,Mohave Water Conservation Dist,,,,,,,,--,--,--,--,--,--,--,--,--,41,49,57,62,108,168,216,309,310,405,460,428,463,497,508,564,793,692,606,626,694,777,701,480,547,634,668,675,633,628,580,569,557
,M&I,"Consolidated Water Utilities, LTD",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,293,291,311,334,336,327,355,349,347,342,356,373,377,388,403,382,407,416,407,404,301,292,297,306,264,275,272,262,203,219
,AG,Mohave Valley IDD,,,,,,,,"12,665","13,854","19,655","21,903","18,806","14,593","24,936","19,075","22,761","26,758","31,013","30,740","26,182","23,496","20,213","20,086","22,516","28,862","35,316","35,059","38,550","35,719","37,620","42,428","38,398","45,793","42,600","31,668","34,981","37,432","36,869","35,770","19,687","19,857","17,455","19,539","19,154","20,028","15,693","14,040","17,140","11,464"
,AG,Fort Mojave Indian Reservation,,,,,,,,--,--,--,--,"2,580","7,001","17,449","20,188","16,216","64,476","51,876","52,665","47,220","41,377","44,645","41,578","51,916","62,204","59,244","58,764","59,556","44,775","59,573","58,843","65,152","68,035","69,967","61,888","80,252","65,883","63,451","61,982","31,034","37,324","39,076","36,640","39,823","38,518","36,057","33,209","37,691","36,014"
,M&I,Golden Shores Water Cons Dist,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,388,385,378,389,416,535,589,542,532,501,503,547,534,538,367,332,384,343,314,291,307,304,312,306
,Wildlife,Havasu Nat'l Wildlife Refuge,,,,,,,,"32,424","35,770","40,833","31,938","33,625","36,412","31,863","33,760","34,739","39,696","39,562","39,123","21,669",0,0,"38,236","38,231","39,263","43,192","39,229","39,710","29,374","38,929","46,718","49,446","28,841","30,811","36,641","27,848","36,894","21,481","32,326","4,478","5,657","4,081","4,509","4,870","4,669","4,581","4,534","2,907","4,449"
,M&I,Lake Havasu City,,,,,,,,"3,769","4,918","5,070","6,701","7,267","7,327","7,524","7,771","8,684","8,982","8,916","8,049","8,449","9,085","9,815","10,104","10,636","11,664","13,203","12,290","11,961","12,243","12,666","13,777","13,805","14,466","15,012","13,797","13,361","14,630","15,063","15,821","10,060","11,107","7,928","9,009","9,826","10,523","9,723","8,075","7,860","7,986"
,AG,CAP agriculture,,,,,,,,,,,,,,,,,,,,,,"11,673","61,249","158,435","325,257","544,023","479,344","272,299","362,678","426,259","501,650","532,101","578,273","583,592","463,684","557,018","725,595","471,203","584,929","555,372","400,967","381,731","436,846","408,137","388,777","397,694","400,684",,
,M&I,CAP M&I,,,,,,,,,,,,,,,,,,,,,,110,"30,562","124,727","79,270","108,698","150,251","76,691","103,011","470,107","113,120","136,235","350,768","382,723","267,542","338,031","400,896","424,959","450,071","628,982","712,566","520,744","532,917","711,278","649,513","766,374","607,998",,
,M&I recharge,CAP M&I recharge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"124,176","303,143","357,793","317,392","106,231","426,475","354,771","276,133","276,971","212,352","384,597","199,613","195,825","86,101","186,861",,
,Tribes,CAP Tribes,,,,,,,,,,,,,,,,,,,,,,,,"18,809","63,865","62,486","114,516","71,562","70,664","76,701","79,724","76,345","81,983","72,751","76,818","102,136","119,004","123,584","134,897","139,367","191,477","137,705","145,094","154,227","184,336","233,539","332,819",,
,Energy,CAP Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,210,141,436,653,"1,029","1,329","1,256",629,,
,FWR,"CAP Fish, Wlidlife, Recreation",,,,,,,,,,,,,,,,,,,,,,,,,,158,395,428,465,493,524,"1,318","1,038","1,010",982,"4,178","1,212",691,712,835,788,801,771,980,894,715,730,,
,Minerals,CAP Minerals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,15,2,2,12,25,30,32,101,108,"34,999","54,951","62,960","91,139","40,408",,
,Reservoir Evaporation,CAP system losses,,,,,,,,,,,,,,,,,,,,,,"21,719","15,825","52,594","30,933","43,642","34,548","32,851","55,263","51,240","36,580","39,263","59,803","70,697","61,412","69,408","71,208","76,155","55,918","84,260","83,316","65,994","80,836","80,538","78,086","82,990","82,638",,
,,Central Arizona Project,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"33,502","107,636","354,565","499,325","759,007","779,054","453,831","592,081","1,024,800","731,598","785,262","1,196,059","1,413,930","1,228,233","1,388,165","1,424,158","1,523,092","1,581,595","1,685,190","1,666,327","1,319,871","1,616,713","1,610,753","1,561,719","1,659,808","1,652,767","1,625,043","1,626,062"
,,CAP Back Check,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"33,502","107,636","354,565","499,325","759,007","779,054","453,831","592,081","1,024,800","731,598","785,262","1,196,059","1,413,930","1,228,233","1,388,165","1,424,158","1,523,092","1,581,595","1,685,190","1,666,327","1,319,871","1,616,713","1,610,753","1,561,719","1,659,808","1,652,767",0,
,M&I,Graham Water Utilities Inc.,,,,,,,,--,--,--,--,--,--,79,106,109,114,116,124,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,M&I,Holiday Harbor Utilities Co.,,,,,,,,--,--,--,--,--,--,3,11,18,27,24,26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,M&I,Town of Parker,,,,,,,,666,697,980,851,857,829,862,857,990,"1,045","1,334","1,087",851,851,"1,610","1,008","1,120","1,635","1,107","1,030",910,947,"1,032","1,128","1,140","1,143","1,031","1,025",930,942,900,624,373,335,347,383,324,286,296,295,304,338
,AG,Colorado River Indian Reservation,,,,,,,,"297,217","269,218","303,243","298,439","339,023","300,870","343,062","315,678","332,455","348,701","379,128","333,049","279,303","282,147","298,312","297,380","358,600","370,080","427,853","418,225","390,702","357,333","371,893","419,725","425,102","476,338","392,723","351,668","343,165","392,306","342,348","384,860","358,830","327,596","329,111","351,092","362,901","396,924","401,501","378,851","343,249","325,780"
,M&I,Ehrenburg Improvement Assn,,,,,,,,--,--,--,--,--,--,--,--,--,--,96,119,126,145,173,188,212,229,324,262,305,330,344,379,423,428,499,427,434,441,411,479,378,379,329,340,330,304,262,287,278,199
,AG,Cibola Valley IDD,,,,,,,,"21,400","20,900","20,500","21,200","22,389","16,936","23,530","19,741","18,015","18,846","24,302","21,159","12,145","15,580","18,770","19,789","28,222","24,336","26,192","26,997","18,988","20,273","22,145","29,546","29,210","29,223","30,883","28,952","26,920","30,085","26,302","27,069","19,352","19,355","19,181","19,296","19,348","18,918","18,650","18,523","18,553","17,456"
,Wildlife,Cibola Nat'l Wildlife Refuge,,,,,,,,--,--,--,--,--,"13,440","11,378","9,406","13,547","15,912","12,232","8,250","6,502","5,434","6,281","6,386","6,297","10,110","12,096","10,329","17,751","16,131","11,916","8,772","10,366","14,467","15,075","6,435","8,161","14,567","11,025","13,339","8,335","6,982","6,812","8,249","8,399","10,423","10,229","11,081","8,222","9,282"
