,State,Category,Water User,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0,CA,AG,Fort Mojave Indian Reservation,,,,,,,,--,--,--,--,720,13800,12600,12606,11772,18882,19128,20760,22352,20760,16920,20276,19578,22344,21072,20760,19704,20604,18725,22497,21364,30189,27241,26276,20959,23303,18512,16494,8866,8617,8773,10129,11471,8023,9757,6333,7976,8521
1,CA,M&I,City of Needles,,,,,,,,2813,2464,2781,2674,2574,2765,3009,2133,2037,2194,2351,2288,2060,2810,2490,2291,2403,2713,2844,3267,3266,3489,1502,1467,1412,1471,1396,1159,1209,826,2132,1425,1506,1580,1957,1715,1667,1614,1831,1701,1387,1885
2,CA,M&I,Chemehuevi Indian Reservation,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,848,252,664,265,342,216,89,334,776,804,158,158,198,198,78,92,92
3,CA,"Fish, Wildlife, Recreation",San Bernardino County,,,,,,,,--,--,15,15,15,15,15,15,15,15,15,15,15,15,18,19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
4,CA,M&I,Metropolitan Water District of Southern California,,,,,,,,1212000,1212000,1170140,1121768,778495,790857,1276891,709859,808757,817147,826336,712951,903867,1233519,1269526,1299650,1278836,1200181,1201390,1214971,1252352,1193830,1204003,1300203,994373,1227279,1238660,1073125,1212067,1300014,1250502,1237994,683786,760032,875252,632424,713456,904850,1105232,1099061,698990,736119
6,CA,M&I,Parker Dam & Gov't Camp,,,,,,,,--,270,297,249,206,234,202,226,288,273,280,228,143,171,185,238,255,273,308,237,222,301,283,276,237,290,189,115,134,195,160,147,94,99,108,119,134,156,110,121,80,107
7,CA,AG,Colorado River Indian Reservation,,,,,,,,--,--,14516,10436,14200,6892,11874,11827,8458,12041,15448,5746,5654,4560,6048,4869,5732,4205,5479,5380,8448,9793,7787,6700,8840,7320,4496,10937,5788,3557,4296,3059,2497,3534,3921,3307,3173,2908,2887,3704,3130,3175
8,CA,M&I,City of Winterhaven,,,,,,,,87,87,84,84,110,110,110,110,110,128,140,119,113,80,101,101,122,127,142,125,129,126,120,134,129,136,130,135,124,124,132,128,88,84,70,71,71,72,66,68,69,66
9,CA,AG,Palo Verde Irrigation District,,,,,,,,458570,439640,465250,458400,449486,392220,435062,420825,459610,418304,523834,456900,333521,331841,396940,404578,420136,443821,452049,459615,412965,334689,334467,382476,426599,493572,421851,427113,468888,511947,492634,540786,379650,412700,324939,354898,375347,374995,284965,269867,320088,362223
10,CA,M&I,City of Blythe,,,,,,,,3679,3760,3074,3080,2946,2887,3016,3021,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
11,CA,M&I,East Blythe Water Conservation District,,,,,,,,478,490,465,501,473,454,480,495,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12,CA,M&I,Water Mgmt Acct Credits,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,28301,92989,64688,0,0,0,0,0,0,0,0,,,,--,--,--,--,--,--,--
13,CA,AG,Yuma Project Res Div Indian Unit,,,,,,,,41470,37292,38555,38668,42449,43941,34151,36103,39258,42432,43767,40005,22485,26751,29713,27577,32077,43324,62675,48833,48648,48461,44391,48220,38281,32521,31008,31386,31350,29785,40239,47064,46352,46259,44803,38187,45290,46044,37818,41556,45042,46238
14,CA,AG,Yuma Project Res Div Bard Unit,,,,,,,,47446,49016,49763,47565,46903,49958,43854,44185,48910,47676,50740,47811,40667,40452,46293,46673,48777,52824,39653,52416,53421,45822,50813,54857,52260,55726,53179,49812,48800,50344,45678,47221,46977,37457,38537,40757,43454,44568,43550,39551,49552,50729
17,CA,AG,Imperial Irrigation District,,,,,,,,2509234,2505343,2646792,2752483,2678784,2490722,2430864,2414472,2544853,2492525,2472784,2221319,2153431,2358458,2309423,2309525,2351936,2517132,2603190,2654689,2478997,2138444,2359044,2604195,2607943,2741481,2718840,2662289,2622407,2642254,2626730,2682480,2481041,2284123,2299699,2452150,2423246,2490132,2286109,2390267,,
18,CA,M&I,Imperial Irrigation District,,,,,,,,25365,26000,23521,24738,24922,24543,23886,26229,26003,27170,26977,26916,26812,27870,25874,27058,27732,27071,27857,26223,41163,40326,45410,48591,51760,52397,49192,48432,49152,52194,53058,53619,54620,58125,54066,54059,52531,54219,54466,53868,,
19,CA,AG,Imperial Irrigation District service area canal losses,,,,,,,,433308,434567,377586,394756,367268,361719,317312,316498,313379,326084,372528,347343,375374,280207,350540,341791,385197,403378,378404,373276,378803,393889,367694,395290,410879,365731,390454,390827,417421,236803,410123,416885,442562,401661,403081,403471,396977,280765,226138,101458,,
