State,Category,Water User,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
NV,M&I,Boulder Canyon Project,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,3,186,109,143,46,27,19,24,32,29,117,71,11,126,90,63,81,46,38,61,33,50,35,32,16,18,10,23,12,7
,M&I,Robert B. Griffith Water Project (SNWS),,,,,,,,"21,402","45,524","53,412","54,876","63,412","68,648","70,785","76,522","90,676","100,795","115,487","114,235","115,420","141,710","150,755","161,748","167,400","195,955","240,070","259,684","263,788","264,701","295,120","316,890","315,631","343,337","357,186","353,068","409,473","434,697","440,339","450,168","450,741","433,575","457,287","482,187","484,304","445,185","425,382","422,418","406,391","407,853"
,Recreation,Lake Mead Nat'l Rec Area (Lake Mead),,,,,,,,797,898,824,808,824,818,892,890,952,"1,078","1,174","1,040","1,111","1,005",923,833,840,798,"1,055",833,719,906,800,824,885,985,874,552,896,851,706,869,850,648,787,882,609,567,531,456,431,427
,Recreation,Lake Mead Nat'l Rec Area (Lake Mohave),,,,,,,,5,5,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,329,355,362,249,345,312,308,278,308,310,257,237,207,237,259,209,181,162,189,151
,M&I,"Basic Management, Inc.",,,,,,,,"19,687","19,684","19,821","19,341","11,923","8,798","7,353","7,664","8,965","9,148","8,112","6,080",6522,"11,847","11,526","12,005","12,720","12,069","9,405","5,569","5,822","7,269","6,532","7,123","5,485","4,988","6,730","6,339","5,489","5,286","5,210","5,372","5,332","5,861","5,820","6,184","5,696","5,948","5,355","5,079","5,585","5,555"
,M&I,City of Henderson,,,,,,,,--,--,"1,754","1,945","6,410","7,119","7,409","7,965","8,710","9,306","10,399","10,539","11,304",--,--,--,--,--,--,"2,816","4,838","9,610","8,282","11,492","13,001","15,842","13,013","14,283","11,702","13,067","12,789","13,206","9,861","13,163","12,573","14,881","14,751","16,527","15,927","13,844","15,794","14,915"
,Fish,Nevada State Dept of Fish & Game,,,,,,,,--,--,6,7,6,4,5,6,6,5,5,4,4,4,4,5,6,3,4,4,2,0,0,1,4,19,16,13,12,12,12,12,12,11,10,12,10,9,9,10,12,10
,M&I,Boulder City,,,,,,,,"2,795","3,263","4,105","3,945","3,880","3,953","3,901","3,826","4,321","4,578","4,813","4,536","5,325",--,--,--,--,2,5,5,0,3,157,246,280,279,171,132,179,223,466,958,22,--,--,--,--,--,--,--,--,--
,M&I,"Pacific Coast Building Products, Inc.",,,,,,,,411,447,460,450,385,422,458,499,563,542,527,559,610,616,559,596,572,824,783,564,599,529,594,748,698,732,725,651,776,776,798,837,869,892,920,914,822,876,678,586,607,864
,Energy,Southern California Edison Company,,,,,,,,"5,446","11,169","12,188","13,440","14,422","14,709","14,327","9,053","11,934","10,163","13,983","17,294","14,676","14,198","6,255","13,262","13,655","15,985","14,265","17,273","14,821","13,931","14,807","13,982","13,281","13,149","13,127","12,851","12,148","13,402","12,968","12,297","11,564","12,038","12,401","1,248",396,491,520,370,97,--
