,,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Arizona,Ag,"1,245,621 ","1,145,194 ","1,205,348 ","1,269,577 ","1,304,907 ","1,179,161 ","1,166,538 ","1,168,728 ","1,081,093 ","1,141,155 ","1,338,191 ","1,171,463 ","1,011,593 ","1,086,645 ","1,141,105 ","1,239,520 ","1,461,766 ","1,665,518 ","1,923,596 ","1,866,052 ","1,583,677 ","1,586,927 ","1,549,628 ","1,625,310 ","1,679,161 ","1,857,503 ","1,792,290 ","1,583,397 ","1,682,028 ","1,849,453 ","1,577,257 ","1,741,131 ","1,644,185 ","1,460,917 ","1,439,082 ","1,547,235 ","1,527,181 ","1,522,944 ","1,515,970 ","1,476,274 ","1,107,598 ","1,115,247 "
Arizona,M&I,"17,840 ","20,571 ","20,872 ","22,455 ","17,859 ","17,719 ","20,079 ","21,053 ","19,826 ","21,159 ","22,452 ","20,325 ","21,889 ","23,465 ","24,525 ","55,864 ","155,596 ","112,142 ","143,274 ","183,751 ","110,945 ","138,559 ","507,786 ","137,403 ","162,016 ","373,647 ","401,965 ","291,111 ","358,734 ","424,244 ","441,216 ","468,164 ","669,847 ","756,091 ","559,249 ","573,855 ","749,686 ","688,792 ","803,314 ","641,681 ","35,819 ","33,331 "
Arizona,M&I recharge,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"124,176 ","303,143 ","357,793 ","317,392 ","106,231 ","426,475 ","354,771 ","276,133 ","276,971 ","212,352 ","384,597 ","199,613 ","195,825 ","86,101 ","186,861 ",0 ,0 
Arizona,tribes,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"18,809 ","63,865 ","62,486 ","114,516 ","71,562 ","70,664 ","76,701 ","79,724 ","76,345 ","81,983 ","72,751 ","76,818 ","102,136 ","119,004 ","123,584 ","134,897 ","139,367 ","191,477 ","137,705 ","145,094 ","154,227 ","184,336 ","233,539 ","332,819 ",0 ,0 
Arizona,energy,695 ,"1,072 ","1,138 ","1,207 ","1,018 ",776 ,"1,010 ","1,183 ","1,079 ","1,094 ","1,022 ",800 ,241 ,60 ,40 ,512 ,398 ,528 ,620 ,678 ,385 ,333 ,472 ,428 ,389 ,783 ,680 ,629 ,776 ,613 ,804 ,"1,193 ",615 ,526 ,798 ,"1,312 ","1,695 ","2,050 ","1,897 ","1,426 ",542 ,301 
Arizona,FWR,"32,774 ","36,206 ","41,386 ","32,392 ","34,219 ","50,364 ","43,647 ","43,978 ","48,855 ","58,155 ","54,185 ","47,796 ","28,446 ","5,946 ","6,819 ","45,209 ","45,009 ","49,751 ","56,080 ","60,727 ","64,940 ","54,325 ","60,868 ","65,551 ","71,634 ","54,886 ","55,434 ","51,703 ","49,226 ","62,750 ","42,295 ","49,883 ","16,162 ","15,246 ","13,181 ","14,938 ","15,432 ","17,505 ","16,761 ","18,260 ","12,106 ","14,726 "
Arizona,minerals,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,18 ,15 ,2 ,2 ,12 ,25 ,30 ,32 ,101 ,108 ,"34,999 ","54,951 ","62,960 ","91,139 ","40,408 ",0 ,0 
Arizona,reservoir evaporation,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"21,719 ","15,825 ","52,594 ","30,933 ","43,642 ","34,548 ","32,851 ","55,263 ","51,240 ","36,580 ","39,263 ","59,803 ","70,697 ","61,412 ","69,408 ","71,208 ","76,155 ","55,918 ","84,260 ","83,316 ","65,994 ","80,836 ","80,538 ","78,086 ","82,990 ","82,638 ",0 ,0 
Arizona,Total,"1,296,930 ","1,203,043 ","1,268,744 ","1,325,631 ","1,358,003 ","1,248,020 ","1,231,274 ","1,234,942 ","1,150,853 ","1,221,563 ","1,415,850 ","1,240,384 ","1,062,169 ","1,116,116 ","1,194,208 ","1,356,930 ","1,734,172 ","1,922,737 ","2,229,698 ","2,260,272 ","1,864,360 ","1,906,071 ","2,246,695 ","1,944,996 ","2,028,809 ","2,552,799 ","2,696,974 ","2,422,865 ","2,579,702 ","2,633,515 ","2,687,812 ","2,805,986 ","2,830,599 ","2,784,645 ","2,428,469 ","2,782,866 ","2,783,323 ","2,752,497 ","2,831,711 ","2,780,367 ","1,156,065 ","1,163,605 "
California,AG,"3,971,857 ","3,985,564 ","4,117,170 ","4,260,931 ","4,173,964 ","3,884,456 ","3,789,627 ","3,761,106 ","3,951,063 ","3,885,918 ","3,939,673 ","3,557,077 ","3,311,877 ","3,412,432 ","3,480,349 ","3,475,593 ","3,582,288 ","3,808,915 ","3,911,524 ","3,974,321 ","3,708,356 ","3,279,380 ","3,489,698 ","3,785,000 ","3,807,530 ","3,966,218 ","3,892,544 ","3,848,199 ","3,861,546 ","3,739,535 ","3,879,650 ","4,000,991 ","3,666,217 ","3,477,082 ","3,387,835 ","3,601,945 ","3,573,038 ","3,509,734 ","3,141,534 ","3,065,179 ","403,861 ","448,094 "
